w1	w2	label	prediction
blend	morph	blorph	bleh
fact	ficticious	factitious	fus
triple	biscuit	triscuit	tit
jingle	dangle	jangle	je
russian	english	russlish	rush
bionic	chronicle	bionicle	be
rocknroll	hillybilly	rockabilly	roy
meow	mouse	meowse	me
accent	future	accenture	are
animation	mutation	animutation	an
friend	enemy	frenemy	fry
facebook	rape	frape	face
man	tantrum	mantrum	mam
bride	godzilla	bridezilla	ba
korean	english	konglish	kosh
beep	epilepsy	beepilepsy	by
instrumental	medley	instrumedley	iny
twilight	night	twinight	tight
consolidated	rail	conrail	col
bayonet	network	bayonetwork	bark
view	humongous	viewmongous	vis
later	instagram	latergram	lam
nerd	hijacking	nerdjacking	necking
marketing	architecture	marchitecture	mare
news	broadcast	newscast	net
kiss	virginity	kirginity	ky
bad	radical	badical	bal
advertising	entertainment	advertainment	ant
neverending	referendum	neverendum	num
clinton	eastwood	clintwood	cod
cellphone	selfish	cellfish	ch
white	nigger	wigger	wer
microwave	wait	microwait	mit
dad	adventure	dadventure	de
maltese	poodle	maltipoo	me
heterosexual	normativity	heteronormativity	hey
female	bro	febro	fro
british	comedy	britcom	bry
whale	dolphin	wholphin	win
california	saratoga	calistoga	cala
plant	animal	planimal	pal
kentucky	indiana	kentuckiana	ka
interrogative	bang	interrobang	ig
residue	drool	residrool	rel
weasley	incest	weasleycest	west
engaged	gay	engayed	ey
blog	diary	blogairy	bry
austerity	hysterical	austerical	al
slam	ambulance	slambulance	slame
labor	neighborhood	laborhood	lad
mobile	tone	mobitone	mone
romantic	comedy	romcom	roy
skirt	short	skort	short
beer	delicious	beerlicious	bus
cacaphony	cocoa	cacaophony	ca
teleprinter	exchange	telex	tele
chip	striptease	chiptease	case
breakfast	dinner	brunner	ber
michigan	indiana	michiana	mina
cuddle	relationship	cuddleship	cup
potato	tomato	pomato	po
man	alimony	manlimony	many
dry	ice	drice	de
former	girlfriend	forgirl	formed
by	cause	because	be
pixel	vigilante	pixelante	pite
lullaby	buoy	lullabuoy	loy
intoxication	tax	intaxication	ix
absolutely	ridiculous	absoludicrous	abs
decor	exorcize	decorcize	de
affluence	influenza	affluenza	affa
waite	rose	waitrose	we
palestinian	hollywood	pallywood	pod
balanced	unbalanced	balun	bed
him	insomnia	himsomnia	ha
grass	recycle	grasscycle	ge
spill	million	spillion	son
butterfly	flump	butterflump	bup
screen	snapshot	screenshot	sot
situation	comedy	sitcom	sy
arbor	literati	arberati	ari
chav	fantastic	chavtastic	cic
jeans	leggings	jeggings	jeans
nintendo	tendonitis	nintendonitis	nis
slang	linguistics	slanguistics	slas
man	explaining	mansplaining	mining
narcissist	stick	narcissistick	nick
clam	tomato	clamato	co
police	astronaut	policenauts	put
smoke	fog	smog	sog
non	apology	nonpology	ny
cocker	poodle	cockapoo	cole
goal	ultimate	goaltimate	ge
birthday	christmas	birthmas	bas
man	purse	murse	mane
hot	atlanta	hotlanta	ha
stalker	fan	stan	stan
ruth	euthanasia	ruthanasia	ra
eye	violating	eyeolating	eng
ipod	peeper	ipeeper	ir
trump	pumpkin	trumpkin	tin
ultraportable	notebook	ultrabook	ulk
blot	hotch	blotch	bloth
wiki	citizen	wikizen	win
cabaret	renaissance	cabarenaissance	ce
advertisement	editorial	advertorial	al
bluetooth	tool	bluetool	bol
man	landscaping	manscaping	mag
squirrel	kitten	squitten	sen
digital	camera	digicam	dia
video	blog	vlog	vig
drink	marathon	drinkathon	don
net	aristocracy	netocracy	ny
thin	inspiration	thinspiration	ton
confused	puzzled	confuzzled	coled
vietnamese	asian	vietnamasian	van
mutual	exclusion	mutex	mon
volcano	smog	vog	vog
bachman	eyes	bachmeyes	bas
strategy	tragedy	stragedy	sy
boy	conversation	boycon	bon
sex	texting	sexting	sing
bold	audacious	bodacious	bus
economics	metric	econometric	ec
medical	care	medicare	mare
wallaby	kangaroo	wallaroo	wo
net	citizen	netizen	nen
international	network	internet	irk
shock	documentary	shockumentary	sy
fucking	retard	fucktard	fard
blazed	blasted	blaysted	bed
brahman	angus	brangus	bus
anticipation	disappointment	anticipointment	ant
advertising	editorial	advertorial	al
sarcasm	catastrophe	sarcastrophe	sare
rune	landscape	runescape	rue
capsule	communicator	capcom	cor
vegan	evangelical	vegevangelical	vel
damn	fantastic	damntastic	dic
neighbor	internet	neighbornet	net
croissant	sandwich	croissandwich	ch
mechanics	electronics	mechatronics	mes
screw	souvenir	screwvenir	sir
prostitute	dude	prostadude	prude
chill	relax	chillax	chax
baker	waterloo	bakerloo	bo
run	nasty	runasty	runy
agnostic	optimist	agnoptimist	at
tagalog	english	taglish	tish
retirement	fire	refirement	re
bonnie	damon	bamon	bonn
against	say	gainsay	ay
robotic	call	robocall	roll
ass	osmosis	assmosis	ais
bohemian	hungarian	bohunk	bohn
car	armageddon	carmageddon	con
gigantic	enormous	ginormous	gus
creepy	people	creople	ce
snack	sacrifice	snackrifice	se
fork	spoon	foon	fon
flounce	blunder	flounder	funder
california	fornication	californication	con
dannon	animals	danimals	dans
bitch	explosion	bitchplosion	bon
rag	magazine	raggazine	rine
try	difficult	trifficult	tult
man	dog	mog	mag
man	menstruation	manstration	man
zebra	pony	zony	zy
black	hipster	blipster	blacker
fraternity	jacket	fracket	fet
smell	telescope	smelloscope	se
charity	mugger	chugger	chr
black	pakistani	blackistani	bi
tanganyika	zanzibar	tanzania	tar
pine	dinosaur	pineosaur	pur
jew	afro	jewfro	jo
guitar	ukulele	guitalele	ge
ipod	broadcast	podcast	it
blob	object	blobject	blot
melancholy	alcoholic	melancholic	mc
grindelwald	dumbledore	grindlelore	grie
nuclear	electronic	nucleonic	nic
simultaneous	broadcast	simulcast	sit
kinetic	connection	kinect	kon
napthene	palmitate	napalm	nate
faux	apology	fauxpology	fay
argument	minimum	argmin	am
loop	circular	loopular	lar
quebecois	mexican	quebexican	quan
information	entertainment	infortainment	int
brag	explaining	bragplaining	bring
mobile	episode	mobisode	mode
yell	cellular	yellular	year
zeitgeist	ghost	zeitghost	zeit
wiki	encyclopedia	wikipedia	wa
web	extrovert	webtrovert	wert
hillary	bot	hillbot	hot
castle	asteroid	castleroid	cid
frown	calculation	frowculation	fon
stoned	drunk	strunk	sunk
medical	marijuana	medijuana	mana
camel	llama	cama	ca
britain	exit	brexit	bit
procrastination	masturbation	procrasturbating	pon
satisfy	suffice	satisfice	se
instagram	glam	instaglam	im
lag	faggot	laggot	lat
titanium	plywood	plytanium	tod
snow	ice	snice	se
biographical	picture	biopic	be
frapp	cappuccino	frappuccino	fro
joy	orgasm	joygasm	jom
return	offshoring	reshoring	reg
automatic	magic	automagic	ac
carbon	corundum	carborundum	cum
america	track	amtrak	ack
sass	asshole	sasshole	sale
email	address	edress	es
lin	insanity	linsanity	liny
rack	acne	racne	re
television	photogenic	telegenic	tic
electronic	penis	epeen	eis
you	universe	youniverse	youse
digital	evolve	digivolve	dive
minimum	maximum	minimax	mim
admin	nazi	adminazi	ai
hipster	hypocritical	hipstocratical	hal
gay	gamer	gaymer	gayer
man	boobs	moobs	mans
permanent	frost	permafrost	post
electric	execute	electrocute	ele
ned	alexis	nexis	nis
biology	electronic	bionic	bonic
telephone	marketing	telemarketing	telting
fang	gore	fangore	fore
croissant	donut	cronut	cut
boxing	records	boxrec	bos
proteins	genome	proteome	prote
fantastic	fabulous	fantabulous	fus
multitude	dude	multidude	me
fear	erection	fearection	fon
seuss	musical	seussical	seal
jew	threesome	jewsome	je
mod	gothic	mothic	mc
fur	explode	fursplode	fure
amazing	awesome	amazome	ame
canadian	woodlands	canwood	cans
mexico	california	mexifornia	ma
agreement	threesome	agreesome	ame
spectral	alert	spectralert	sert
foreplay	ploy	foreploy	forey
malapropism	portmanteau	malamanteau	mau
fuck	ugly	fugly	fly
chump	championship	chumpionship	chip
fiction	commercial	fictomercial	fil
june	nineteenth	juneteenth	juh
sex	exploitation	sexploitation	son
slack	academic	slackademic	sic
aerosol	soul	aerosoul	al
pekingese	poodle	pekeapoo	peke
executive	babble	execubabble	ele
miserable	flimsy	mimsy	my
croissant	doughnut	cronut	cut
dark	arcane	darkane	de
congratulations	drag	condragulations	cog
google	alzheimer	googleheimer	ger
corporation	complaining	corplaining	coring
scrambled	omelette	scromlette	se
cyber	librarian	cybrarian	can
jew	lutheran	jewtheran	jan
interior	landscape	inscape	ine
kroger	yogurt	krogert	krot
darwin	wine	darwine	de
negative	attitude	negatude	nude
automatic	tune	autotune	ane
anger	aneurysm	angeurysm	am
homosexual	holocaust	homocaust	host
tofu	turkey	tofurkey	toy
academic	trampoline	acatramp	ace
dawn	moment	dohment	dat
dormitory	automobile	dormobile	de
ridiculous	donkey	ridonkulous	rey
situational	comedy	sitcom	sy
month	anniversary	monthiversary	monty
frappe	cappucino	frappucino	fro
math	athlete	mathlete	mate
tea	coffee	teaffee	te
zebra	horse	zorse	zee
republican	democrat	republicrat	ret
cunt	explaining	cuntplaining	claining
bedazzle	baffle	bedaffle	be
diabetes	obesity	diabesity	dy
tired	angry	tangry	ty
arpa	network	arpanet	ak
request	question	requestion	ren
class	auditorium	classitorium	cum
opinion	innuendo	opinuendo	oo
american	indigenous	amerind	ames
pod	pedestrian	podestrian	pan
frozen	yogurt	frogurt	furt
jizz	disney	jizzney	jey
